pH,TEMPERATURA (°C),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)
7.2,23,70,0.243
7.2,22,80,0.206
7.1,22,80,1.176
7,23,90,0.313
7,23,100,0.612
7,23,140,0.291
7,23,140,0.126
7.1,24,140,0.48
7.1,24,150,0.174
7.1,23,162.3,0.657
7,23,144.8,0.975
7.1,22,147.2,1.084
6,23,148.1,1.3
6,24,179.3,0.82
6.2,22,61.1,0.208
5.8,23,78,0.197
6.3,23,66.7,0.246
6.3,23,67.1,0.277
6.6,25,68.7,0.503
7.8,23.5,96,0.569
7.4,23.6,99,0.502
7.1,24.2,109,0.568
6.9,24.4,125,0.54
6.7,24.7,133,0.499
6.9,25.2,147,0.394
7,25.5,159,0.656
7,26.2,167,0.318
6.8,26.3,165,0.469
7,28,166,0.435
7.1,26.5,177.7,0.562
6.7,26,176.3,0.584
7,27,195,0.729
6.8,25,134.4,0.517
7.1,26,132.9,0.435
7.1,26.3,138.1,0.41
6.9,26,144.7,0.449
6.9,26,168,0.381
6.9,27,166.9,0.369
6.9,27,209,0.216
7,27,280,0.156
7,27,176.3,0.206
7,26,,0.252
6.3,22.7,102,0.004
5.8,23,103.6,0.004
6.2,23,101.7,0.003
6.4,23,102.7,0.004
6.4,23.5,95.8,0.005
7.3,25,104.5,0.186
7.1,25.3,133,0.156
7,25.9,150,0.006
6.7,26.2,176,0.006
6.8,26.6,189,0.005
6.9,26.7,218,0.006
6.9,27.7,243,0.01
6.6,27.9,237,0.006
6.9,27.9,237,0.006
7.1,24.9,183,0.006
7.1,26.1,208,0.006
7.2,26.4,229,0.006
7.2,26.1,218,0.007
7.3,26.1,206,0.005
6.2,20,72.3,0.263
5.7,20,71.3,0.217
5.9,22,54.8,0.549
6.1,21,63.6,0.249
6.8,20,60.6,0.188
6.5,23,89.4,0.285
7.2,20,90.5,0.26
6.6,20,96.9,0.201
6.7,21,107.8,0.231
6.6,21,115,0.268
6.8,21,130.7,0.116
6.4,22,135.7,0.208
6.4,21,142.1,0.21
6.5,20,148.2,0.31
6.4,,164,0.275
6.5,24.2,174,0.332
7,24.4,179,0.287
6.4,24.6,171,0.423
7.4,24.5,1172,0.533
5.9,19,96,0.393
5.8,20,96.3,0.805
6.1,20,92.6,0.093
6.1,20,87.7,0.29
6.1,20,90.8,0.593
7.2,22.1,89.1,<0.0001
6.9,22.3,94.8,0.551
6.9,22.9,105.2,0.248
6.8,23.4,116.2,1.242
6.6,23.7,114.4,0.224
6.7,23.8,135.2,0.45
6.9,24,137.7,0.029
6.7,24.5,139.6,<0.0001
6.8,24.8,140.8,0.316
6.4,24,149.5,0.926
6.5,22,160.2,0.04
6.6,20,164.7,0.959
6.5,21,161.3,0.187
6.6,20,149.5,0.367
7.5,22.9,74,
7.3,22.9,74,
6.8,23.5,89,
7.1,23.3,95,
7.1,23,90,
7,22.9,110,
6.9,23.2,106,
7,23.6,96,
6.97,23.4,93,
7.1,22.4,69,
7.2,22.6,72,
7.3,22.9,80,
7.3,23.1,111,
7.2,22.8,91,
7.4,23,105,
7.1,2.5,108,
7.1,4.1,103,
7,2,103,
,20.8,63.3,0.19
,20.4,62.7,0.239
,20.3,57.5,0.241
,22.1,59.9,0.278
6.3,23.7,58.3,0.252
6.8,18,64.5,0.286
7,18,65.5,0.292
6.7,19,96.3,0.255
6.7,19,79.5,0.294
6.7,19,77.4,0.64
6.8,20,85.7,0.35
6.8,20,96.1,0.295
6.8,20,97.1,0.417
6.8,20,98.8,0.399
7.1,23,125,0.378
7.4,23.3,127,0.498
7.2,23.2,133,0.117
7.1,23.2,139,0.303
7,23.4,137,0.46
6.4,21,83.8,0.099
6.6,21.4,78.7,0.223
6.8,20.2,69.5,0.263
7.2,21.3,68.6,0.342
6.3,24.7,66.5,0.234
7.3,21.9,78,0.259
7.3,22.4,83,0.238
7.1,22.3,83,0.251
7.2,22.1,93,0.191
7.6,22.3,97,0.221
7.4,22,116,0.196
7.2,22.5,122,0.321
7.3,22.4,137,0.323
7.5,22.3,136,0.382
6.4,24.5,118,0.389
6.9,23.3,126,0.663
6.9,23.4,129,0.547
7.1,23,135,0.568
7.2,21.7,190,0.329
