Temperatura °C,Conductividad Eléctrica uS/cm,pH unidades de pH,Nitratos (mg N-NO3-/L)
21,89.9,6.3,0.1753
21,94.2,6.5,0.1724
20,101.8,6.7,0.3389
21,113.6,6.6,0.1765
21,111.5,6.5,0.078
21,146.8,6.6,0.1544
22,148.8,6.5,0.2162
22,160.1,6.5,0.1553
22,166.7,6.5,0.1495
24,154.9,6.7,0.2057
24,169.9,6.5,0.4279
,179,6.5,0.2898
24,190.3,6.7,0.5499
23,189.9,6.6,0.4279
20,83.7,6.5,0.2738
21,75.6,6.4,0.1835
21,72.1,6.5,0.2738
20,72.1,6.5,0.5407
18,66.7,6.8,2.1036
22,89.3,6.7,1.5318
21,82.3,6.6,1.0038
20,84.2,6.3,0.54
20,90.6,6.3,0.5859
20,94.8,6.7,0.5816
20,127.7,6.6,0.5251
22,127.7,6.5,0.6141
18,115.8,6.5,1.0913
22,146,6.5,0.6324
24,134.4,6.9,1.1195
23,172.8,7.1,0.4009
23,163.2,7.4,1.1068
22,172.8,7.2,1.3369
22,168.3,6.2,0.8513
18,58.4,6.1,0.1921
18,62.6,6.2,0.2392
18,58.1,6.4,0.3045
18,62.6,6.4,0.1906
20,63.2,6.7,0.237
20,73.4,6.7,0.2727
20,75.5,6.7,0.2624
20,84.7,6.6,0.345
20,97.9,6.6,0.277
20.5,96,6.6,0.2688
20,113.4,6.7,0.2745
22,120,6.7,0.2499
22,125,6.7,0.3263
22,120,6.7,0.3299
22,117.5,6.9,0.2749
19,283.9,7,0.4374
20,129.2,7,0.3452
20,129.2,7.1,0.4045
20,127.3,7,0.4773
19.7,80,6.6,0.258
20.1,84,6.6,0.427
21.3,78.5,7,0.485
22,79.1,7,0.363
22,70,7,0.331
23,70,7.2,0.243
22,80,7.2,0.206
22,80,7.1,1.176
23,90,7,0.313
23,100,7,0.612
23,140,7,0.291
23,140,7,0.126
24,140,7.1,0.48
24,150,7.1,0.174
23,162.3,7.1,0.657
23,144.8,7,0.975
22,147.2,7.1,1.084
23,148.1,6,1.3
24,179.3,6,0.82
22,61.1,6.2,0.208
23,78,5.8,0.197
23,66.7,6.3,0.246
23,67.1,6.3,0.277
25,68.7,6.6,0.503
23.5,96,7.8,0.569
23.6,99,7.4,0.502
24.2,109,7.1,0.568
24.4,125,6.9,0.54
24.7,133,6.7,0.499
25.2,147,6.9,0.394
25.5,159,7,0.656
26.2,167,7,0.318
26.3,165,6.8,0.469
28,166,7,0.435
26.5,177.7,7.1,0.562
26,176.3,6.7,0.584
27,195,7,0.729
25,134.4,6.8,0.517
26,132.9,7.1,0.435
26.3,138.1,7.1,0.41
26,144.7,6.9,0.449
26,168,6.9,0.381
27,166.9,6.9,0.369
27,209,6.9,0.216
27,280,7,0.156
27,176.3,7,0.206
26,,7,0.252
22.7,102,6.3,0.004
23,103.6,5.8,0.004
23,101.7,6.2,0.003
23,102.7,6.4,0.004
23.5,95.8,6.4,0.005
25,104.5,7.3,0.186
25.3,133,7.1,0.156
25.9,150,7,0.006
26.2,176,6.7,0.006
26.6,189,6.8,0.005
26.7,218,6.9,0.006
27.7,243,6.9,0.01
27.9,237,6.6,0.006
27.9,237,6.9,0.006
24.9,183,7.1,0.006
26.1,208,7.1,0.006
26.4,229,7.2,0.006
26.1,218,7.2,0.007
26.1,206,7.3,0.005
20,72.3,6.2,0.263
20,71.3,5.7,0.217
22,54.8,5.9,0.549
21,63.6,6.1,0.249
20,60.6,6.8,0.188
23,89.4,6.5,0.285
20,90.5,7.2,0.26
20,96.9,6.6,0.201
21,107.8,6.7,0.231
21,115,6.6,0.268
21,130.7,6.8,0.116
22,135.7,6.4,0.208
21,142.1,6.4,0.21
20,148.2,6.5,0.31
,164,6.4,0.275
24.2,174,6.5,0.332
24.4,179,7,0.287
24.6,171,6.4,0.423
24.5,1172,7.4,0.533
19,96,5.9,0.393
20,96.3,5.8,0.805
20,92.6,6.1,0.093
20,87.7,6.1,0.29
20,90.8,6.1,0.593
22.3,94.8,6.9,0.551
22.9,105.2,6.9,0.248
23.4,116.2,6.8,1.242
23.7,114.4,6.6,0.224
23.8,135.2,6.7,0.45
24,137.7,6.9,0.029
24.8,140.8,6.8,0.316
24,149.5,6.4,0.926
22,160.2,6.5,0.04
20,164.7,6.6,0.959
21,161.3,6.5,0.187
20,149.5,6.6,0.367
22.9,74,7.5,
22.9,74,7.3,
23.5,89,6.8,
23.3,95,7.1,
23,90,7.1,
22.9,110,7,
23.2,106,6.9,
23.6,96,7,
23.4,93,6.97,
22.4,69,7.1,
22.6,72,7.2,
22.9,80,7.3,
23.1,111,7.3,
22.8,91,7.2,
23,105,7.4,
2.5,108,7.1,
4.1,103,7.1,
2,103,7,
20.8,63.3,,0.19
20.4,62.7,,0.239
20.3,57.5,,0.241
22.1,59.9,,0.278
23.7,58.3,6.3,0.252
18,64.5,6.8,0.286
18,65.5,7,0.292
19,96.3,6.7,0.255
19,79.5,6.7,0.294
19,77.4,6.7,0.64
20,85.7,6.8,0.35
20,96.1,6.8,0.295
20,97.1,6.8,0.417
20,98.8,6.8,0.399
23,125,7.1,0.378
23.3,127,7.4,0.498
23.2,133,7.2,0.117
23.2,139,7.1,0.303
23.4,137,7,0.46
21,83.8,6.4,0.099
21.4,78.7,6.6,0.223
20.2,69.5,6.8,0.263
21.3,68.6,7.2,0.342
24.7,66.5,6.3,0.234
21.9,78,7.3,0.259
22.4,83,7.3,0.238
22.3,83,7.1,0.251
22.1,93,7.2,0.191
22.3,97,7.6,0.221
22,116,7.4,0.196
22.5,122,7.2,0.321
22.4,137,7.3,0.323
22.3,136,7.5,0.382
24.5,118,6.4,0.389
23.3,126,6.9,0.663
23.4,129,6.9,0.547
